gene_id	beam_rank	status	family	pval	qval	gene_name	gene_short_name	feature_type	highly_variable	num_cells_expressed	use_for_ordering	labelled
ENSMUSG00000021587	51	OK	negbinomial.size	1.5779973132293038e-276	5.106213658867293e-274	Pcsk1	Pcsk1	Gene Expression	False	2366	True	False
ENSMUSG00000067028	52	OK	negbinomial.size	6.476672790765087e-276	2.055471751269158e-273	Cntnap5b	Cntnap5b	Gene Expression	True	913	True	False
ENSMUSG00000052942	53	OK	negbinomial.size	8.415428452256202e-276	2.620373882029889e-273	Glis3	Glis3	Gene Expression	True	2237	True	False
ENSMUSG00000006546	54	OK	negbinomial.size	1.498967360519233e-270	4.5810108056757236e-268	Cryba2	Cryba2	Gene Expression	True	2588	True	False
ENSMUSG00000022636	55	OK	negbinomial.size	2.6705282987165668e-266	8.013041547949002e-264	Alcam	Alcam	Gene Expression	True	2537	True	False
ENSMUSG00000043531	56	OK	negbinomial.size	2.756938379134325e-263	8.124598941223887e-261	Sorcs1	Sorcs1	Gene Expression	True	766	True	False
ENSMUSG00000003814	57	OK	negbinomial.size	1.3865335412697236e-241	4.014379479223552e-239	Calr	Calr	Gene Expression	False	2820	True	False
ENSMUSG00000071679	58	OK	negbinomial.size	2.9893133457579955e-238	8.505627266386931e-236	Rtl4	Rtl4	Gene Expression	True	1058	True	False
ENSMUSG00000089996	59	OK	negbinomial.size	5.9448237380245414e-238	1.6628377313325252e-235	Tmsb15b2	Tmsb15b2	Gene Expression	True	2671	True	False
ENSMUSG00000029088	60	OK	negbinomial.size	1.0314186276592976e-237	2.8369169353768983e-235	Kcnip4	Kcnip4	Gene Expression	True	927	True	True
ENSMUSG00000009734	61	OK	negbinomial.size	4.19233579504762e-236	1.134198649601162e-233	Pou6f2	Pou6f2	Gene Expression	True	649	False	False
ENSMUSG00000033717	62	OK	negbinomial.size	1.0609108049365858e-230	2.8239050022368507e-228	Adra2a	Adra2a	Gene Expression	False	927	False	False
ENSMUSG00000014351	63	OK	negbinomial.size	1.7314404502285648e-230	4.535549484146351e-228	Gip	Gip	Gene Expression	True	418	False	False
ENSMUSG00000025909	64	OK	negbinomial.size	2.2967709961504448e-229	5.922439335854811e-227	Sntg1	Sntg1	Gene Expression	True	735	True	False
ENSMUSG00000033981	65	OK	negbinomial.size	6.989529246176246e-220	1.7745877099945629e-217	Gria2	Gria2	Gene Expression	True	1027	True	False
ENSMUSG00000020048	66	OK	negbinomial.size	8.459328911555118e-212	2.115216742839305e-209	Hsp90b1	Hsp90b1	Gene Expression	False	2963	True	False
ENSMUSG00000039697	67	OK	negbinomial.size	1.887679752523281e-211	4.649608799386822e-209	Ncoa7	Ncoa7	Gene Expression	True	2264	True	False
ENSMUSG00000026163	68	OK	negbinomial.size	1.0337489732371384e-206	2.508817544901838e-204	Sphkap	Sphkap	Gene Expression	True	2411	True	False
ENSMUSG00000059173	69	OK	negbinomial.size	5.312477185364517e-206	1.2706059563778352e-203	Pde1a	Pde1a	Gene Expression	True	1364	True	False
ENSMUSG00000059401	70	OK	negbinomial.size	3.690178976562599e-204	8.699860521458939e-202	Mamld1	Mamld1	Gene Expression	True	2043	True	False
ENSMUSG00000035187	71	OK	negbinomial.size	1.9090269427742582e-202	4.437277695296279e-200	Nkx6-1	Nkx6-1	Gene Expression	False	2512	True	True
ENSMUSG00000031561	72	OK	negbinomial.size	9.38821769064204e-199	2.1518577298425775e-196	Tenm3	Tenm3	Gene Expression	True	1471	True	False
ENSMUSG00000020571	73	OK	negbinomial.size	3.6955850640469614e-198	8.354553467392742e-196	Pdia6	Pdia6	Gene Expression	False	2719	True	False
ENSMUSG00000052595	74	OK	negbinomial.size	3.895807582355848e-195	8.688177369137643e-193	A1cf	A1cf	Gene Expression	True	1687	True	False
ENSMUSG00000037996	75	OK	negbinomial.size	1.9982193472543546e-194	4.3968818516984805e-192	Slc24a2	Slc24a2	Gene Expression	True	940	False	False
ENSMUSG00000001173	76	OK	negbinomial.size	1.7249496667194835e-193	3.745637414456794e-191	Ocrl	Ocrl	Gene Expression	False	2540	True	False
ENSMUSG00000020176	77	OK	negbinomial.size	2.6115326802851227e-191	5.59715893801888e-189	Grb10	Grb10	Gene Expression	False	2952	True	False
ENSMUSG00000079157	78	OK	negbinomial.size	4.4664861817452494e-185	9.450054032992544e-183	Fam155a	Fam155a	Gene Expression	True	2507	True	False
ENSMUSG00000039607	79	OK	negbinomial.size	9.210501453015568e-180	1.9240620946723526e-177	Rbms3	Rbms3	Gene Expression	False	2694	True	False
ENSMUSG00000027210	80	OK	negbinomial.size	8.295356775693313e-179	1.7112284108658343e-176	Meis2	Meis2	Gene Expression	False	3006	True	False
ENSMUSG00000024899	81	OK	negbinomial.size	1.317861677626605e-176	2.6850211439347983e-174	Papss2	Papss2	Gene Expression	True	1799	True	False
ENSMUSG00000056854	82	OK	negbinomial.size	5.556884294663886e-175	1.1183568477419282e-172	Pou3f4	Pou3f4	Gene Expression	True	1632	True	True
ENSMUSG00000062380	83	OK	negbinomial.size	7.182454778531306e-175	1.4280970025313514e-172	Tubb3	Tubb3	Gene Expression	True	2068	False	False
ENSMUSG00000031428	84	OK	negbinomial.size	1.8064043588427764e-170	3.5489394207121834e-168	Zcchc18	Zcchc18	Gene Expression	True	2298	True	False
