gene	contrast	alpha_effect	beta_effect	alpha_q	beta_q	category	alpha_plot	beta_plot
Cox6c	dEndo − control	-0.1358828651973257	-0.1288942073570836	1.0	1.0	other tested genes	-0.1354681415873397	-0.12853994755180104
Cox7a2	dEndo − control	0.013653369893267	-0.0187070821314076	1.0	1.0	other tested genes	0.013652945731139045	-0.018705991197287906
Cox7a2l	dEndo − control	0.1320466774089049	0.1480753840068015	1.0	1.0	other tested genes	0.13166592264412513	0.14753952984615112
Cox7b	dEndo − control	-0.0744817468088013	-0.00909704580103	1.0	1.0	other tested genes	-0.07441305319528714	-0.009096920332814657
Cox7c	dEndo − control	-0.1231940561139298	-0.0533067413390888	1.0	1.0	other tested genes	-0.12288455051827278	-0.053281527417699086
Cox8a	dEndo − control	0.002336553531224	-0.0146655148209885	1.0	1.0	other tested genes	0.002336551405167075	-0.014664989168579251
Cpe	dEndo − control	0.0733143492289949	0.1561899782651777	1.0	1.0	other tested genes	0.07324883021740827	0.15556179972466896
Cpm	dEndo − control	-0.3675503405187777	-0.1622602229666365	1.0	1.0	other tested genes	-0.35974076458168025	-0.16155652066448817
Cpn1	dEndo − control	-0.45942679891011	-0.7305148399611927	1.0	1.0	other tested genes	-0.4446309547778228	-0.6774861104942682
Crebrf	dEndo − control	-0.0589923441903221	-0.1463478478083147	1.0	1.0	other tested genes	-0.058958181154002504	-0.14583041393039686
Creld2	dEndo − control	-0.1885143844839531	-0.0236744944062295	1.0	1.0	other tested genes	-0.18741531122377286	-0.023672283443738316
Crot	dEndo − control	-0.0311998376675477	-0.0009014061273299	1.0	1.0	other tested genes	-0.03119477807456607	-0.0009014060052595728
Cryba2	dEndo − control	-0.2580568719655795	0.1769931776878696	1.0	1.0	other tested genes	-0.2552753013940542	0.17608186818718868
Cst3	dEndo − control	0.0030534093617795	-0.0162723950413719	1.0	1.0	other tested genes	0.0030534046171530457	-0.016271676996734843
Ctnna2	dEndo − control	-0.1849460375129946	-0.1674243972688119	1.0	1.0	other tested genes	-0.1839075957260445	-0.16665192514747387
Ctnnd2	dEndo − control	-0.2479083946605924	-0.4104482696337418	1.0	1.0	other tested genes	-0.24543680814542934	-0.3997187307521823
Ctrb1	dEndo − control	0.4190660005646838	-0.8245557827043308	8.996556846492418e-11	1.3293393803974042e-05	other tested genes	0.4076789335470226	-0.7517284700436652
Ctsl	dEndo − control	-0.2754537077680715	-0.3292569905067641	1.0	1.0	other tested genes	-0.2720842026069682	-0.32358063407035936
Ctsz	dEndo − control	-0.3415302958065292	-0.3768917401147883	1.0	1.0	other tested genes	-0.3352168557980155	-0.3684953442931298
Cxxc4	dEndo − control	-0.1085885190036509	-0.0186059090835571	1.0	1.0	other tested genes	-0.10837624048960363	-0.018604835752275204
Cyb5b	dEndo − control	-0.2925035681388384	-0.2230302953843221	1.0	1.0	other tested genes	-0.2884854074300637	-0.22122148398120964
Cycs	dEndo − control	-0.282449367766589	-0.2720679547394439	1.0	1.0	other tested genes	-0.2788225926801554	-0.2688186100125454
Cystm1	dEndo − control	0.0753708029093692	0.2224914692538052	1.0	1.0	other tested genes	0.0752996241690661	0.22069554895237994
Dach1	dEndo − control	0.068853778172715	-0.0324910584411179	1.0	1.0	other tested genes	0.06879948975488152	-0.032485344521899974
Dad1	dEndo − control	-0.0106944849090926	0.0129397226662849	1.0	1.0	other tested genes	-0.01069428106129929	0.012939361596677244
Dapk1	dEndo − control	-0.2146352788371604	-0.1356655730712886	1.0	1.0	other tested genes	-0.21302055376102857	-0.13525282503987707
Dbpht2	dEndo − control	-0.0854311969539618	-0.1143232327245177	1.0	1.0	other tested genes	-0.08532761700329441	-0.11407565575288166
Dcaf6	dEndo − control	-0.144334870888045	-0.1010348676642098	1.0	1.0	other tested genes	-0.143838367472232	-0.10086375778124462
Dcx	dEndo − control	-0.2080301548907714	-0.1040010106895559	1.0	1.0	other tested genes	-0.20655817342219654	-0.10381443459218673
Ddc	dEndo − control	-0.1706102773224676	0.2025708945454726	1.0	1.0	other tested genes	-0.16979325103553006	0.20121045431322493
Ddost	dEndo − control	-0.1149061619655584	0.0337351599634032	1.0	1.0	other tested genes	-0.11465479346766504	0.03372876445976146
Dek	dEndo − control	-0.1258262505258973	-0.0427074247483307	1.0	1.0	other tested genes	-0.12549657526405378	-0.042694452875304954
Dennd1a	dEndo − control	-0.002540055040176	-0.0685940191032168	1.0	1.0	other tested genes	-0.002540052308829044	-0.06854034193944551
Deptor	dEndo − control	0.1416802643871058	0.1513446005321602	1.0	1.0	other tested genes	0.1412104971915545	0.15077271302013623
Derl2	dEndo − control	0.0056403702551478	0.1195779147244843	1.0	1.0	other tested genes	0.005640340348662724	0.11929476125404138
Dgkb	dEndo − control	-0.6087824454240103	-0.4459508892704134	0.0005299805133569	1.0	other tested genes	-0.5763411796290762	-0.43235440434652417
Dhrs4	dEndo − control	-0.0307066077618098	-0.080338536955947	1.0	1.0	other tested genes	-0.030701784286433526	-0.08025236575762046
Dlk1	dEndo − control	-0.2144750904331792	-0.124876516729515	1.0	1.0	other tested genes	-0.2128639298052284	-0.12455421627318898
Dmd	dEndo − control	-0.0638863743911421	-0.1364239556752195	1.0	1.0	other tested genes	-0.06384299564174488	-0.13600428542813298
Dnah9	dEndo − control	-0.0230281165375187	-0.0672979142971145	1.0	1.0	other tested genes	-0.02302608174379654	-0.06724721873666588
Dnajb11	dEndo − control	-0.1720923881401709	-0.07250465794864	1.0	1.0	other tested genes	-0.17125407110906465	-0.07244128249319871
Dnajb9	dEndo − control	-0.2224190030753586	-0.238394984330777	1.0	1.0	other tested genes	-0.22062481189889413	-0.23619276860473928
Dnajc10	dEndo − control	-0.2678804979381067	-0.2684491928519783	1.0	1.0	other tested genes	-0.2647758934063893	-0.26532518088047513
Dnajc12	dEndo − control	0.3596488370813916	0.1834547560054472	1.0	1.0	other tested genes	0.35231490699846296	0.1824409876441023
Dnajc15	dEndo − control	-0.002397270716157	-0.0352679503742412	1.0	1.0	other tested genes	-0.0023972684200143403	-0.03526064325086749
Dnajc3	dEndo − control	-0.1918826007642993	-0.1539960531066011	1.0	1.0	other tested genes	-0.1907242074016097	-0.1533937944555697
Dock11	dEndo − control	-0.3218878299908621	-0.1904608743364071	1.0	1.0	other tested genes	-0.3165735015418405	-0.18932776964656947
Dop1b	dEndo − control	-0.1540930274269298	-0.0752754981401893	1.0	1.0	other tested genes	-0.15348963826973544	-0.07520458861437818
Dpf3	dEndo − control	-0.1281260439725239	-0.2934226939403043	1.0	1.0	other tested genes	-0.1277780497371549	-0.2893674601620365
Dpp10	dEndo − control	0.1989596143964672	0.1254558966924193	1.0	1.0	other tested genes	0.19766982643174116	0.12512911041718575
Dpp4	dEndo − control	-0.1155006779389242	-0.1993253446920011	1.0	1.0	other tested genes	-0.1152454031161731	-0.1980285135186958
Dpp6	dEndo − control	-0.3702907009752298	-0.5568728861701066	1.0	1.0	other tested genes	-0.3623117456943321	-0.5314938306347685
Dpyd	dEndo − control	0.168637394409067	-0.0747135565174247	1.0	1.0	other tested genes	0.16784815240022286	-0.07464422059446005
Drap1	dEndo − control	-0.1907566476619488	-0.1286924009894488	1.0	1.0	other tested genes	-0.18961831210809776	-0.12833979439867232
Dst	dEndo − control	-0.0824123789350911	-0.2052282063211122	1.0	1.0	other tested genes	-0.08231937483635726	-0.20381419137457477
Dstn	dEndo − control	0.0422099232077538	0.0857528999937653	1.0	1.0	other tested genes	0.04219739916713516	0.08564814807915061
Dtnbos	dEndo − control	0.2661233549733325	0.0893955559152918	1.0	1.0	other tested genes	0.2630782224260734	0.08927691367824209
Dusp10	dEndo − control	-0.4663178398873531	-0.4455581599111635	1.0	1.0	other tested genes	-0.45088455771704017	-0.43199569834642204
Dynll1	dEndo − control	-0.1192823531680341	-0.0471255711568539	1.0	1.0	other tested genes	-0.11900128529346929	-0.04710814566817521
Ece1	dEndo − control	-0.0430660969208885	-0.1352132036998739	1.0	1.0	other tested genes	-0.043052795652024335	-0.13480454854109902
Edem2	dEndo − control	-0.0384584252276247	-0.2330329697456425	1.0	1.0	other tested genes	-0.03844895120659662	-0.23097378549045994
Eef1b2	dEndo − control	0.0775048232117982	0.0767916051414585	1.0	1.0	other tested genes	0.07742743700151052	0.07671633200051729
Egr1	dEndo − control	0.2207543393595017	0.4210630704697855	1.0	1.0	other tested genes	0.2189995704349508	0.4095201536945996
Ehbp1	dEndo − control	-0.0058949685954214	-0.0602046429417058	1.0	1.0	other tested genes	-0.005894934453618906	-0.06016833252032163
Eif1	dEndo − control	-0.0615638111767469	0.0565521591359506	1.0	1.0	other tested genes	-0.061524988491587995	0.056522058751763374
Eif4a2	dEndo − control	-0.1376867204353547	-0.0765881934631424	1.0	1.0	other tested genes	-0.13725535463179464	-0.07651351586357834
Eif4b	dEndo − control	0.0095221570149897	-0.1791923100507171	1.0	1.0	other tested genes	0.009522013122858353	-0.1782469334600118
Eif5a	dEndo − control	0.1290699659153531	0.1416808425594224	1.0	1.0	other tested genes	0.1287142621093275	0.14121106964686223
Elob	dEndo − control	-0.1271138083032611	-0.0836396386197714	1.0	1.0	other tested genes	-0.12677395782833495	-0.08354242624455478
Elp4	dEndo − control	0.0098056030000875	0.0925032632565828	1.0	1.0	other tested genes	0.009805445872342665	0.09237184584885388
Emb	dEndo − control	-0.0054220775935127	0.1021701452413903	1.0	1.0	other tested genes	-0.0054220510266550235	0.10199322050702346
Enho	dEndo − control	-0.0589637182921946	-0.2148719420922374	1.0	1.0	other tested genes	-0.05892960491264751	-0.2132519414583593
Entpd3	dEndo − control	-0.0316007107374442	-0.0035684512896894	1.0	1.0	other tested genes	-0.03159545366195375	-0.003568443716382095
Epb41l5	dEndo − control	-0.2391984857885421	-0.2201115241902303	1.0	1.0	other tested genes	-0.23697429609721737	-0.2183718256484875
Epcam	dEndo − control	-0.0525648267104408	-0.0372932737114794	1.0	1.0	other tested genes	-0.05254065012184762	-0.03728463460930943
Eps8l2	dEndo − control	-0.2083791361731822	0.1156562958466411	1.0	1.0	other tested genes	-0.2068998280392036	0.11539999192061963
Ero1lb	dEndo − control	-0.0895161804106262	-0.3182077330001012	1.0	1.0	other tested genes	-0.08939705841115715	-0.3130685382142808
Erp29	dEndo − control	-0.0679502873337082	-0.0577420236135199	1.0	1.0	other tested genes	-0.06789810520139121	-0.05770998498235039
Erp44	dEndo − control	-0.0965017245579745	-0.1316326795187853	1.0	1.0	other tested genes	-0.0963525687274049	-0.13125547651525876
Esrrg	dEndo − control	0.7319054721956202	0.1723337791718054	1.0	1.0	other tested genes	0.6786086587848439	0.17149196033253283
Etl4	dEndo − control	-0.341745196282004	-0.0933995618247679	1.0	1.0	other tested genes	-0.3354202159878354	-0.09326429730513756
Etv1	dEndo − control	-0.3596634081589995	-0.335360225411706	1.0	1.0	other tested genes	-0.3523286182439778	-0.3293724434507103
Exoc4	dEndo − control	-0.0823255571634402	-0.0792860296063176	1.0	1.0	other tested genes	-0.08223284610198912	-0.07920319476063571
Exoc7	dEndo − control	-0.0383618099908652	-0.0675423237110568	1.0	1.0	other tested genes	-0.038352407161134076	-0.06749107455842203
Fam120c	dEndo − control	-1.6871788723136493e-05	-0.1327296633590871	1.0	1.0	other tested genes	-1.6871788722336047e-05	-0.1323430009056163
Fam155a	dEndo − control	0.1900223594092026	0.0559258319632169	1.0	1.0	other tested genes	0.1888969809615977	0.05589671972725967
Fam172a	dEndo − control	0.0029173292829283	-0.0816605672168971	1.0	1.0	other tested genes	0.002917325144804872	-0.08157008027720987
Fam183b	dEndo − control	-0.0418984485745768	0.0873079744479092	1.0	1.0	other tested genes	-0.04188619960035023	0.08719743304951545
Fam241b	dEndo − control	-0.1286249015896287	-0.1955522279617837	1.0	1.0	other tested genes	-0.12827284681794193	-0.19432685805371078
Farp1	dEndo − control	-0.1516671444953214	-0.3919951098951423	1.0	1.0	other tested genes	-0.15109161767432358	-0.3825927485462496
Fars2	dEndo − control	-0.1276912375738416	-0.1218487417611718	1.0	1.0	other tested genes	-0.12734675713529336	-0.12154922156775703
Fau	dEndo − control	-0.0092890432815058	0.022514627074827	1.0	1.0	other tested genes	-0.009288909700457813	0.022512725366205744
Fbxl17	dEndo − control	-0.0484515335292012	-0.1602378063915079	1.0	1.0	other tested genes	-0.04843259645232874	-0.15955989520100297
Fbxl20	dEndo − control	-0.139854699308692	-0.4092263312551169	1.0	1.0	other tested genes	-0.13940275513045836	-0.3985880654154895
Fbxl7	dEndo − control	-0.1068914967064622	0.1480276495750483	0.7843794792030876	1.0	other tested genes	-0.10668898289868321	0.14749231011973427
Fchsd2	dEndo − control	-0.0543168699273007	-0.0345117877999646	1.0	1.0	other tested genes	-0.05429019661221004	-0.0345049405142169
Fermt2	dEndo − control	-0.0954680800587138	0.0593450069201191	1.0	1.0	other tested genes	-0.09532365315731521	0.05931022817404613
Fev	dEndo − control	0.0065765559561804	0.2344643501506068	1.0	1.0	other tested genes	0.0065765085499027275	0.23236759441312263
Ffar2	dEndo − control	0.0648834209453291	-0.0532264851904717	1.0	1.0	other tested genes	0.06483798197252925	-0.0532013848840607
Fgf12	dEndo − control	-0.2091240340658111	-0.4941172836580462	1.0	1.0	other tested genes	-0.20762900752344715	-0.47594398283121264
Fh1	dEndo − control	0.0056997220551793	-0.0862974573842301	1.0	1.0	other tested genes	0.0056996911946454445	-0.08619070162550149
Fhit	dEndo − control	-0.0892859879335046	0.0094880819482443	1.0	1.0	other tested genes	-0.08916778036954365	0.00948793959530538
Filip1	dEndo − control	-0.2490131460549139	0.0761026368890278	1.0	1.0	other tested genes	-0.24650896156091257	0.0760293682010695
Fkbp2	dEndo − control	0.0833589257662279	-0.0946254491925269	1.0	1.0	other tested genes	0.0832626868876193	-0.09448480283586964
Fkbp9	dEndo − control	0.3838777912026721	0.064718498649442	1.0	1.0	other tested genes	0.37502494833630234	0.0646734048580168
Flrt1	dEndo − control	0.216565568877049	-0.2715398301282459	1.0	1.0	other tested genes	0.21490748603401413	-0.26830897523057257
Fmnl2	dEndo − control	-0.1452270310013506	-0.3309435190334708	1.0	1.0	other tested genes	-0.14472132152016615	-0.3251821619679509
Fndc3a	dEndo − control	-0.0620072871836468	-0.0952301793555381	1.0	1.0	other tested genes	-0.06196762043611756	-0.09508682656821071
Fos	dEndo − control	0.2085969118333003	0.2778624624030681	1.0	1.0	other tested genes	0.20711301955888528	0.2744057495103599
Foxn3	dEndo − control	-0.2067367431675495	-0.2002712740367889	1.0	1.0	other tested genes	-0.20529170907097416	-0.19895610948624481
Foxp1	dEndo − control	-0.110817795160786	-0.1112777665409059	1.0	1.0	other tested genes	-0.1105922216606011	-0.11104938290666153
Foxp2	dEndo − control	0.1057642288528514	-0.1686811345877714	1.0	1.0	other tested genes	0.10556803380223378	-0.16789128342901916
Frmd4b	dEndo − control	0.0437568367620313	-0.0162335780370708	1.0	1.0	other tested genes	0.043742885529290294	-0.016232865118362264
Fth1	dEndo − control	0.1463976532136528	0.0842039561757154	1.0	1.0	other tested genes	0.14587969421883068	0.08410476702169352
Ftl1	dEndo − control	-0.2496304768492753	-0.1779225962597452	1.0	1.0	other tested genes	-0.24710795585553022	-0.17699698924213972
Fxr1	dEndo − control	0.0047115713202588	-0.0051861625476791	1.0	1.0	other tested genes	0.004711553888479456	-0.00518613929987877
Fxyd3	dEndo − control	-0.1234065303393039	0.0685089367553729	1.0	1.0	other tested genes	-0.12309542781014425	0.06845545880373886
G6pc2	dEndo − control	-0.1767767136328321	0.1505695747626975	1.0	1.0	other tested genes	-0.1758687130778671	0.1500063698131681
Gabarap	dEndo − control	0.0377681804939431	0.0766932133969999	1.0	1.0	other tested genes	0.037759207273985254	0.0766182287166179
Gabrb3	dEndo − control	-0.4146592056996984	-0.4398314005589764	1.0	1.0	other tested genes	-0.4036114074681472	-0.42675912772796243
Gadd45a	dEndo − control	0.0198975330919472	0.0302212432288484	1.0	1.0	other tested genes	0.01989622038103966	0.030216644823035946
Gadd45g	dEndo − control	-0.2620187340026479	0.0727130739690727	1.0	1.0	other tested genes	-0.2591096434367563	0.07264915128649806
Galnt18	dEndo − control	-0.1232820990920889	-0.1034322212164353	1.0	1.0	other tested genes	-0.12297193243509567	-0.10324867993677918
Gapdh	dEndo − control	-0.3067718146554967	-0.2822068118036668	1.0	1.0	other tested genes	-0.3021531910717059	-0.27858916166220243
Gas5	dEndo − control	0.0053380468856942	-0.0471374116850932	1.0	1.0	other tested genes	0.005338021534972192	-0.04711997306714278
Gast	dEndo − control	0.9264187255722092	0.3297266417613389	9.87503308405492e-09	1.0	other tested genes	0.8283752824359443	0.3240266957659375
Gata6	dEndo − control	-0.3759854997575455	-0.1136471468290531	1.0	1.0	other tested genes	-0.3676472068393576	-0.11340391959414908
Gcg	dEndo − control	-0.0995794542870169	-1.3262470326233222	1.802372585236792e-06	8.530373235206932e-05	shared decrease (q < 0.05)	-0.09941561157452719	-1.0943532653953874
Gch1	dEndo − control	0.1306081159150893	0.2100613218634878	1.0	1.0	other tested genes	0.1302396084242026	0.20854636256012832
Gfra1	dEndo − control	-0.3848933606444859	0.3581879816586197	1.0	1.0	other tested genes	-0.3759728985618735	0.3509399332694852
Gfra3	dEndo − control	0.0337502216379912	0.1649895198226213	1.0	1.0	other tested genes	0.03374381756728501	0.1642499985432919
Ghr	dEndo − control	0.2745907077405911	0.0952013148436748	1.0	1.0	other tested genes	0.27125209807008466	0.09505809201673147
Gjd2	dEndo − control	-0.3266911956169599	-0.1292044116299244	1.0	1.0	other tested genes	-0.32114261636757013	-0.1288476006167347
Glcci1	dEndo − control	-0.163869088022231	-0.2113420287168408	1.0	1.0	other tested genes	-0.16314441297204815	-0.20979955358535152
Glis3	dEndo − control	-0.1926831589221375	-0.1364563713444145	1.0	1.0	other tested genes	-0.19151036427295126	-0.13603640352194646
Glrx5	dEndo − control	-0.2394692852729891	-0.1658861137528567	1.0	1.0	other tested genes	-0.23723765783431808	-0.16513456896025663
Gls	dEndo − control	-0.1147563539094906	-0.2438238702879313	1.0	1.0	other tested genes	-0.11450596345064047	-0.24147041164822072
Glud1	dEndo − control	-0.0756054283107045	0.0433700110848354	1.0	1.0	other tested genes	-0.07553358391222928	0.04335642638632366
Gnai1	dEndo − control	-0.00039223366215	0.0592244261314963	1.0	1.0	other tested genes	-0.00039223365209265594	0.05918985872985186
Gnao1	dEndo − control	-0.0400626823775839	-0.1208720044817741	1.0	1.0	other tested genes	-0.04005197321936965	-0.12057959869276624
Gnaq	dEndo − control	-0.2155496528701105	-0.1819211760546717	1.0	1.0	other tested genes	-0.21391448285243275	-0.1809323760809603
Gnas	dEndo − control	-0.1270479520825657	-0.1852649917247317	1.0	1.0	other tested genes	-0.12670862702635802	-0.18422122213453432
Gnasas1	dEndo − control	-0.2868761457695426	-0.2803906537652501	1.0	1.0	other tested genes	-0.2830802238460771	-0.27684085780041434
Gng12	dEndo − control	-0.1295799534279836	-0.1164861393957274	1.0	1.0	other tested genes	-0.12922003762125253	-0.11622430125951697
Gpatch8	dEndo − control	-0.0304897165790732	-0.0587892212089481	1.0	1.0	other tested genes	-0.03048499456479845	-0.058755409487307064
Gpc4	dEndo − control	-0.2986004723516922	-0.080279672814626	1.0	1.0	other tested genes	-0.2943322853221296	-0.08019369052668655
Gpd2	dEndo − control	0.1458662461716578	0.074095705913656	1.0	1.0	other tested genes	0.145353871874337	0.07402807315761185
Gphn	dEndo − control	-0.390642023012256	-0.2940332446394169	1.0	1.0	other tested genes	-0.38133270228622806	-0.2899532631896954
Gpr39	dEndo − control	-0.1912226874199452	-0.0821017463179228	1.0	1.0	other tested genes	-0.1900760776717706	-0.08200978782228882
Gprasp1	dEndo − control	0.0164499991869947	-0.0467958514450489	1.0	1.0	other tested genes	0.01644925737557819	-0.04677878892444527
Gprasp2	dEndo − control	-0.3806848937070984	-0.331006529652706	1.0	1.0	other tested genes	-0.37204254602793874	-0.32524198127690146
Gpx2	dEndo − control	-0.7373259581032353	-0.4309166396872628	1.0	1.0	other tested genes	-0.6829770928875317	-0.4185854479657769
Gpx3	dEndo − control	-0.0116157648514426	-0.1905770119445206	1.0	1.0	other tested genes	-0.011615503655866553	-0.18944185520136525
Grb10	dEndo − control	-0.1207868930201778	0.0006148203885143	1.0	1.0	other tested genes	-0.12049510181303637	0.000614820349780201
Grcc10	dEndo − control	-0.0521703349348857	-0.0124017500246819	1.0	1.0	other tested genes	-0.052146698158733615	-0.01240143214145504
Gria3	dEndo − control	-0.3364098568388071	-0.7188396381226002	0.7552199203454615	1.0	other tested genes	-0.3303674469168427	-0.6680322941731435
Grik2	dEndo − control	-0.1493750685555491	-0.2417093483967887	1.0	1.0	other tested genes	-0.148825074469255	-0.2394155748142204
Grip1	dEndo − control	-0.4572686589625233	-0.5286146621661755	1.0	1.0	other tested genes	-0.4426690765167639	-0.5066580156282505
Gse1	dEndo − control	-0.1119378436092623	-0.0709787821493619	1.0	1.0	other tested genes	-0.11170538691606505	-0.07091931849097043
